书名,页面地址,图片地址
 Python编程 从入门到实践 第2版,http://product.dangdang.com/24003310.html,http://img3m0.ddimg.cn/67/4/24003310-1_b_10.jpg
 Python编程快速上手 让繁琐工作自动化（Python3编程从入门到实践 新手学习必备用书）,http://product.dangdang.com/23997502.html,http://img3m2.ddimg.cn/1/5/23997502-1_b_6.jpg
 疯狂Python讲义,http://product.dangdang.com/25580336.html,http://img3m6.ddimg.cn/23/16/25580336-1_b_3.jpg
 零基础学Python（全彩版）,http://product.dangdang.com/28486010.html,http://img3m0.ddimg.cn/47/6/28486010-1_b_6.jpg
 Python爬虫技术――深入理解原理、技术与开发,http://product.dangdang.com/28510027.html,http://img3m7.ddimg.cn/7/10/28510027-1_b_3.jpg
 Python编程三剑客：Python编程从入门到实践第2版+Python编程快速上手+Python极客项目编程（当当套装,http://product.dangdang.com/28534461.html,http://img3m1.ddimg.cn/87/24/28534461-1_b_3.jpg
 对比Excel，轻松学习Python数据分析,http://product.dangdang.com/26512595.html,http://img3m5.ddimg.cn/98/23/26512595-1_b_3.jpg
 利用Python进行数据分析（原书第2版）,http://product.dangdang.com/25312917.html,http://img3m7.ddimg.cn/3/33/25312917-1_b_2.jpg
 Python项目开发案例集锦（全彩版）,http://product.dangdang.com/28486019.html,http://img3m9.ddimg.cn/56/15/28486019-1_b_5.jpg
 DK编程真好玩：9岁开始学Python,http://product.dangdang.com/27940162.html,http://img3m2.ddimg.cn/85/19/27940162-1_b_5.jpg
 Python语言程序设计基础（第2版）,http://product.dangdang.com/24189864.html,http://img3m4.ddimg.cn/6/4/24189864-1_b_3.jpg
 Python学习手册（原书第5版）,http://product.dangdang.com/25576578.html,http://img3m8.ddimg.cn/27/32/25576578-1_b_5.jpg
 Python编程从数据分析到机器学习实践（微课视频版）,http://product.dangdang.com/28517948.html,http://img3m8.ddimg.cn/8/13/28517948-1_b_6.jpg
 Python基础教程（第3版）,http://product.dangdang.com/25218035.html,http://img3m5.ddimg.cn/62/19/25218035-1_b_2.jpg
 少儿编程之旅 趣学Python,http://product.dangdang.com/28977660.html,http://img3m0.ddimg.cn/63/0/28977660-1_b_5.jpg
 Python Qt GUI与数据可视化编程,http://product.dangdang.com/27918134.html,http://img3m4.ddimg.cn/35/6/27918134-1_b_21.jpg
 Python数据可视化之美：专业图表绘制指南（全彩）,http://product.dangdang.com/28527228.html,http://img3m8.ddimg.cn/81/6/28527228-1_b_3.jpg
 Python从入门到项目实践（全彩版）,http://product.dangdang.com/28486024.html,http://img3m4.ddimg.cn/61/20/28486024-1_b_6.jpg
 Python 3网络爬虫开发实战,http://product.dangdang.com/25249602.html,http://img3m2.ddimg.cn/48/25/25249602-1_b_3.jpg
